"","atac","atac2","nIterations","p.value","z.score","alternative"
"1","NormMac1ATAC","NormMac1ATAC","100","0.0099009900990099","1006.1187","greater"
"2","NormMac1ATAC","NormPer1ATAC","100","0.0099009900990099","941.8517","greater"
"3","NormMac1ATAC","AMDMacLateATAC","100","0.0099009900990099","713.2052","greater"
"4","NormMac1ATAC","AMDPerLateATAC","100","0.0099009900990099","507.4234","greater"
"5","NormMac1ATAC","AMDMacEarlyATAC","100","0.0099009900990099","917.9229","greater"
"6","NormMac1ATAC","AMDPerEarlyATAC","100","0.0099009900990099","899.5033","greater"
"7","NormPer1ATAC","NormMac1ATAC","100","0.0099009900990099","909.5521","greater"
"8","NormPer1ATAC","NormPer1ATAC","100","0.0099009900990099","1239.3396","greater"
"9","NormPer1ATAC","AMDMacLateATAC","100","0.0099009900990099","692.4797","greater"
"10","NormPer1ATAC","AMDPerLateATAC","100","0.0099009900990099","454.4005","greater"
"11","NormPer1ATAC","AMDMacEarlyATAC","100","0.0099009900990099","862.3128","greater"
"12","NormPer1ATAC","AMDPerEarlyATAC","100","0.0099009900990099","870.7831","greater"
"13","AMDMacLateATAC","NormMac1ATAC","100","0.0099009900990099","700.1268","greater"
"14","AMDMacLateATAC","NormPer1ATAC","100","0.0099009900990099","641.1242","greater"
"15","AMDMacLateATAC","AMDMacLateATAC","100","0.0099009900990099","1266.4031","greater"
"16","AMDMacLateATAC","AMDPerLateATAC","100","0.0099009900990099","784.2038","greater"
"17","AMDMacLateATAC","AMDMacEarlyATAC","100","0.0099009900990099","715.4648","greater"
"18","AMDMacLateATAC","AMDPerEarlyATAC","100","0.0099009900990099","667.2867","greater"
"19","AMDPerLateATAC","NormMac1ATAC","100","0.0099009900990099","626.9763","greater"
"20","AMDPerLateATAC","NormPer1ATAC","100","0.0099009900990099","459.47","greater"
"21","AMDPerLateATAC","AMDMacLateATAC","100","0.0099009900990099","950.4718","greater"
"22","AMDPerLateATAC","AMDPerLateATAC","100","0.0099009900990099","1361.2982","greater"
"23","AMDPerLateATAC","AMDMacEarlyATAC","100","0.0099009900990099","558.0951","greater"
"24","AMDPerLateATAC","AMDPerEarlyATAC","100","0.0099009900990099","579.9712","greater"
"25","AMDMacEarlyATAC","NormMac1ATAC","100","0.0099009900990099","773.0511","greater"
"26","AMDMacEarlyATAC","NormPer1ATAC","100","0.0099009900990099","838.5823","greater"
"27","AMDMacEarlyATAC","AMDMacLateATAC","100","0.0099009900990099","775.4812","greater"
"28","AMDMacEarlyATAC","AMDPerLateATAC","100","0.0099009900990099","534.8053","greater"
"29","AMDMacEarlyATAC","AMDMacEarlyATAC","100","0.0099009900990099","1424.7173","greater"
"30","AMDMacEarlyATAC","AMDPerEarlyATAC","100","0.0099009900990099","906.3305","greater"
"31","AMDPerEarlyATAC","NormMac1ATAC","100","0.0099009900990099","907.0327","greater"
"32","AMDPerEarlyATAC","NormPer1ATAC","100","0.0099009900990099","781.138","greater"
"33","AMDPerEarlyATAC","AMDMacLateATAC","100","0.0099009900990099","725.2372","greater"
"34","AMDPerEarlyATAC","AMDPerLateATAC","100","0.0099009900990099","486.6223","greater"
"35","AMDPerEarlyATAC","AMDMacEarlyATAC","100","0.0099009900990099","1070.1761","greater"
"36","AMDPerEarlyATAC","AMDPerEarlyATAC","100","0.0099009900990099","1209.2192","greater"
"37","crx_masked","NormMac1ATAC","100","0.0099009900990099","-82.5264","less"
"38","crx_masked","NormPer1ATAC","100","0.0099009900990099","-90.2016","less"
"39","crx_masked","AMDMacLateATAC","100","0.0099009900990099","-63.5324","less"
"40","crx_masked","AMDPerLateATAC","100","0.0099009900990099","-52.5691","less"
"41","crx_masked","AMDMacEarlyATAC","100","0.0099009900990099","-78.878","less"
"42","crx_masked","AMDPerEarlyATAC","100","0.0099009900990099","-90.2719","less"
"43","input_masked","NormMac1ATAC","100","0.0099009900990099","-21.2684","less"
"44","input_masked","NormPer1ATAC","100","0.0099009900990099","-21.8942","less"
"45","input_masked","AMDMacLateATAC","100","0.0099009900990099","-10.8251","less"
"46","input_masked","AMDPerLateATAC","100","0.0099009900990099","-8.2089","less"
"47","input_masked","AMDMacEarlyATAC","100","0.0099009900990099","-12.4648","less"
"48","input_masked","AMDPerEarlyATAC","100","0.0099009900990099","-13.4144","less"
