"","h3k27ac","atac","nIterations","p.value","z.score","alternative","X1"
"1","ret_27ac_joined_masked","NormPer1ATAC",100,0.0099009900990099,-105.7378,"less",NA
"2","ret_27ac_joined_masked","AMDPerLateATAC",100,0.0099009900990099,-31.7529,"less",NA
"3","ret_27ac_joined_masked","AMDPerEarlyATAC",100,0.0099009900990099,-77.2178,"less",NA
"4","rpe_27ac_joined_masked","NormPer1ATAC",100,0.0099009900990099,34.159,"greater",NA
"5","rpe_27ac_joined_masked","AMDPerLateATAC",100,0.0099009900990099,20.7258,"greater",NA
"6","rpe_27ac_joined_masked","AMDPerEarlyATAC",100,0.0099009900990099,47.2869,"greater",NA
"7","mac_27ac_joined_masked","NormPer1ATAC",100,0.0099009900990099,6.3509,"greater",NA
"8","mac_27ac_joined_masked","AMDPerLateATAC",100,0.0099009900990099,11.4685,"greater",NA
"9","mac_27ac_joined_masked","AMDPerEarlyATAC",100,0.0099009900990099,30.4337,"greater",NA
"10","crx_masked","NormMac1ATAC",100,0.0099009900990099,-82.5264,"less",37
"11","crx_masked","NormPer1ATAC",100,0.0099009900990099,-90.2016,"less",38
"12","crx_masked","AMDMacLateATAC",100,0.0099009900990099,-63.5324,"less",39
"13","crx_masked","AMDPerLateATAC",100,0.0099009900990099,-52.5691,"less",40
"14","crx_masked","AMDMacEarlyATAC",100,0.0099009900990099,-78.878,"less",41
"15","crx_masked","AMDPerEarlyATAC",100,0.0099009900990099,-90.2719,"less",42
"16","input_masked","NormMac1ATAC",100,0.0099009900990099,-21.2684,"less",43
"17","input_masked","NormPer1ATAC",100,0.0099009900990099,-21.8942,"less",44
"18","input_masked","AMDMacLateATAC",100,0.0099009900990099,-10.8251,"less",45
"19","input_masked","AMDPerLateATAC",100,0.0099009900990099,-8.2089,"less",46
"20","input_masked","AMDMacEarlyATAC",100,0.0099009900990099,-12.4648,"less",47
"21","input_masked","AMDPerEarlyATAC",100,0.0099009900990099,-13.4144,"less",48
